endereco,preco,quartos,metragem,vagas
"Rua ENGENHEIRO PORTELA, VILA GOIS, ANAPOLIS",400.000,2,90 m²,2 Vagas
"AVENIDA CONTORNO, RESIDENCIAL BELA VISTA, ANAPOLIS",265.000,2,57 m²,1 Vaga
"Avenida Professora Zenaide de C. Roriz, JUNDIAI, ANAPOLIS",1.150.000,4,180 m²,3 Vagas
"AVENIDA BRASIL, CIDADE UNIVERSITARIA, ANAPOLIS",650.000,2,69 m²,1 Vaga
"Avenida Senador José Lourenço Dias, MARACANA, ANAPOLIS",260.000,3,87 m²,1 Vaga
"AVENIDA CONTORNO, RESIDENCIAL BELA VISTA, ANAPOLIS",215.000,2,43 m²,1 Vaga
"Rua COUTO DAFICO, JUNDIAI, ANAPOLIS",330.000,3,76 m²,1 Vaga
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",1.119.000,3,117 m²,2 Vagas
"Avenida José Neto Paranhos, JUNDIAI, ANAPOLIS",770.000,3,99 m²,2 Vagas
"AVENIDA BERNARDO SAYAO, VILA JAIARA, ANAPOLIS",310.000,3,78 m²,1 Vaga
"Avenida Mirage, RESIDENCIAL ITATIAIA, ANAPOLIS",195.000,2,47 m²,1 Vaga
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",630.000,2,75 m²,1 Vaga
"Rua 03, CHACARAS COLORADO, ANAPOLIS",280.000,3,79 m²,1 Vaga
"Avenida José Neto Paranhos, JUNDIAI, ANAPOLIS",610.000,3,87 m²,2 Vagas
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",650.000,2,75 m²,1 Vaga
"AVENIDA UNIVERSITARIA, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",350.000,1,37 m²,
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",480.000,3,95 m²,2 Vagas
"Rua 04, CIDADE JARDIM, ANAPOLIS",1.000.000,4,280 m²,4 Vagas
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",590.000,2,66 m²,2 Vagas
"AVENIDA PINHEIRO CHAGAS, JUNDIAI, ANAPOLIS",1.350.000,3,189 m²,3 Vagas
"Rua DONA DOCA, SETOR CENTRAL, ANAPOLIS",295.000,3,85 m²,1 Vaga
"PRACA SANTOS DUMONT, VILA JUSSARA, ANAPOLIS",230.000,1,27 m²,
"Rua PRESIDENTE CASTELO BRANCO, VILA HARMONIA, ANAPOLIS",220.000,2,51 m²,1 Vaga
"AVENIDA JAMEL CECILIO, JUNDIAI, ANAPOLIS",430.000,3,92 m²,2 Vagas
"AVENIDA FABRIL, VILA FABRIL, ANAPOLIS",170.000,2,50 m²,1 Vaga
"AVENIDA PINHEIRO CHAGAS, JUNDIAI, ANAPOLIS",1.200.000,4,160 m²,
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",950.000,3,138 m²,2 Vagas
"AVENIDA MIRAGE, CALIXTOLANDIA 2 ETAPA, ANAPOLIS",185.000,2,47 m²,1 Vaga
"Rua 46, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",530.000,3,104 m²,2 Vagas
"Avenida Mirage, RESIDENCIAL ITATIAIA, ANAPOLIS",200.000,2,41 m²,1 Vaga
"AVENIDA SENADOR RAMOS CAIADO, MARACANA, ANAPOLIS",650.000,3,135 m²,4 Vagas
"Rua FERROVIARIO BRAULINO DOS REIS, VILA INDUSTRIAL, ANAPOLIS",290.000,3,77 m²,1 Vaga
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",430.000,3,93 m²,2 Vagas
"Rua DOUTOR JAMES FANSTONE, CIDADE UNIVERSITARIA, ANAPOLIS",250.000,1,30 m²,
"AVENIDA PLANALTO, VILA JAIARA, ANAPOLIS",205.000,2,44 m²,1 Vaga
"Rua BENEDITO BORGES DE ALMEIDA, JUNDIAI, ANAPOLIS",1.850.000,3,169 m²,3 Vagas
"Rua ARLINDO COSTA, JUNDIAI, ANAPOLIS",450.000,2,75 m²,2 Vagas
"Rua F, CIDADE JARDIM, ANAPOLIS",440.000,3,72 m²,2 Vagas
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",810.000,3,99 m²,2 Vagas
"Rua 140, VILA FORMOSA, ANAPOLIS",380.000,2,102 m²,1 Vaga
"Rua L 0017, JARDIM EUROPA, ANAPOLIS",350.000,2,60 m²,1 Vaga
"ALAMEDA CONTORNO, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",440.000,3,79 m²,2 Vagas
"Rua 06, CHACARAS COLORADO, ANAPOLIS",320.000,3,79 m²,1 Vaga
"Rua DOUTOR VITAL BRASIL, CIDADE UNIVERSITARIA, ANAPOLIS",399.000,1,39 m²,
"Rua DOM EMANUEL, MARACANA, ANAPOLIS",255.000,3,75 m²,1 Vaga
"Rua PB 50, PARQUE BRASILIA 2 ETAPA, ANAPOLIS",850.000,3,145 m²,2 Vagas
"Rua JACARANDA, RESIDENCIAL ARAUJOVILLE, ANAPOLIS",530.000,3,93 m²,2 Vagas
"Rua 07, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",450.000,3,77 m²,2 Vagas
"Conjunto VILLAGE CARDOSO, JUNDIAI, ANAPOLIS",240.000,3,73 m²,1 Vaga
"PRACA BARTOLOMEU DE GUSMAO, JUNDIAI, ANAPOLIS",980.000,3,118 m²,2 Vagas
"AVENIDA GOIAS DE 902/903 AO FIM, SETOR CENTRAL, ANAPOLIS",580.000,2,64 m²,1 Vaga
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",1.650.000,3,275 m²,3 Vagas
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",520.000,3,79 m²,2 Vagas
"Rua RC 10, RESIDENCIAL CEREJEIRAS, ANAPOLIS",220.000,2,49 m²,2 Vagas
"AVENIDA UNIVERSITARIA, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",367.000,1,35 m²,
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",330.000,3,88 m²,1 Vaga
"Avenida Pinheiro Chagas, JUNDIAI, ANAPOLIS",1.350.000,4,189 m²,4 Vagas
"Rua 140, VILA FORMOSA, ANAPOLIS",270.000,2,50 m²,1 Vaga
"Rua DOUTOR VITAL BRASIL, CIDADE UNIVERSITARIA, ANAPOLIS",520.000,1,38 m²,1 Vaga
"Rua A, VILA JAIARA, ANAPOLIS",220.000,3,180 m²,2 Vagas
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",500.000,2,66 m²,2 Vagas
